"gene_type"	"gene_name"
"lncRNA"	"MIR1302-2HG"
"lncRNA"	"FAM138A"
"protein_coding"	"OR4F5"
"lncRNA"	"AL627309.1"
"lncRNA"	"AL627309.3"
"lncRNA"	"AL627309.2"
"lncRNA"	"AL627309.5"
"lncRNA"	"AL627309.4"
"lncRNA"	"AP006222.2"
"lncRNA"	"AL732372.1"
"protein_coding"	"OR4F29"
"lncRNA"	"AC114498.1"
"protein_coding"	"OR4F16"
"lncRNA"	"AL669831.2"
"lncRNA"	"LINC01409"
"lncRNA"	"FAM87B"
"lncRNA"	"LINC01128"
"lncRNA"	"LINC00115"
"lncRNA"	"FAM41C"
"lncRNA"	"AL645608.6"
"lncRNA"	"AL645608.2"
"lncRNA"	"AL645608.4"
"lncRNA"	"LINC02593"
"protein_coding"	"SAMD11"
"protein_coding"	"NOC2L"
"protein_coding"	"KLHL17"
"protein_coding"	"PLEKHN1"
"protein_coding"	"PERM1"
"lncRNA"	"AL645608.7"
"protein_coding"	"HES4"
"protein_coding"	"ISG15"
"lncRNA"	"AL645608.1"
"protein_coding"	"AGRN"
"lncRNA"	"AL645608.5"
"lncRNA"	"AL645608.8"
"protein_coding"	"RNF223"
"protein_coding"	"C1orf159"
"lncRNA"	"AL390719.3"
"lncRNA"	"LINC01342"
"lncRNA"	"AL390719.2"
"lncRNA"	"TTLL10-AS1"
"protein_coding"	"TTLL10"
"protein_coding"	"TNFRSF18"
"protein_coding"	"TNFRSF4"
"protein_coding"	"SDF4"
"protein_coding"	"B3GALT6"
"protein_coding"	"C1QTNF12"
"lncRNA"	"AL162741.1"
"protein_coding"	"UBE2J2"
"lncRNA"	"LINC01786"
"protein_coding"	"SCNN1D"
"protein_coding"	"ACAP3"
"protein_coding"	"PUSL1"
"protein_coding"	"INTS11"
"lncRNA"	"AL139287.1"
"protein_coding"	"CPTP"
"protein_coding"	"TAS1R3"
"protein_coding"	"DVL1"
"protein_coding"	"MXRA8"
"protein_coding"	"AURKAIP1"
"protein_coding"	"CCNL2"
"lncRNA"	"MRPL20-AS1"
"protein_coding"	"MRPL20"
"lncRNA"	"AL391244.2"
"protein_coding"	"ANKRD65"
"lncRNA"	"AL391244.1"
